"Mês","Ano","Ilha","Habitantes","Consumidores","Fuelóleo","Gasóleo","Hídrica","Geotérmica","Eólica","Fotovoltaica","Resíduos","Outras Renováveis","Total"
"11","2021","Corvo","470","285","0","142612","0","0","0","0","0","0","142612"
"10","2021","Santa Maria","5612","3954","0","1522168","0","0","224202","69436","0","0","1815806"
"10","2021","São Miguel","137133","65894","31859872","12786","2357980","3731818","1213031","20278","0","47279","39243044"
"10","2021","Terceira","54874","28280","11055617","47858","60979","2002911","2354724","4837","1098332","0","16625258"
"10","2021","Graciosa","4179","3326","0","496575","0","0","550883","86050","0","0","1133508"
"10","2021","São Jorge","8228","6058","0","2191490","0","0","272877","3085","0","0","2467452"
"10","2021","Pico","13635","10100","3740255","516","0","0","401508","400","0","0","4142679"
"10","2021","Faial","14443","8371","3634730","2170","0","0","430956","182","0","0","4068038"
"10","2021","Flores","3627","2524","0","444627","453947","0","77506","296","0","0","976376"
"10","2021","Corvo","470","285","0","135606","0","0","0","0","0","0","135606"
"9","2021","Santa Maria","5612","3950","0","1599822","0","0","120652","90113","0","0","1810587"
"9","2021","São Miguel","137133","65809","29858274","4336","2017800","5427971","1198727","27242","0","59775","38594125"
"9","2021","Terceira","54874","28246","10893790","3818","0","2151172","1927279","6653","1212722","0","16195434"
"9","2021","Graciosa","4179","3327","0","512511","0","0","530266","95343","0","0","1138120"
"9","2021","São Jorge","8228","6054","0","2274403","0","0","213584","3696","0","0","2491683"
"9","2021","Pico","13635","10097","3886554","56","0","0","355344","496","0","0","4242450"
"9","2021","Faial","14443","8365","3589535","1963","0","0","483170","0","0","0","4074668"
"9","2021","Flores","3627","2525","0","592554","323971","0","66314","259","0","0","983098"
"9","2021","Corvo","470","285","0","139839","0","0","0","0","0","0","139839"
"8","2021","Santa Maria","5612","3945","0","1621757","0","0","179051","115585","0","0","1916393"
"8","2021","São Miguel","137133","65773","22106952","2329","2107905","14673105","1345345","33163","0","59617","40328416"
"8","2021","Terceira","54874","28224","11635031","7365","0","2161305","2440703","6197","1013117","0","17263718"
"8","2021","Graciosa","4179","3321","0","573523","0","0","531041","124565","0","0","1229129"
"8","2021","São Jorge","8228","6048","0","2413223","0","0","267170","3874","0","0","2684267"
"8","2021","Pico","13635","10094","4221126","0","0","0","414662","531","0","0","4636319"
"8","2021","Faial","14443","8360","3844424","0","0","0","640530","89","0","0","4485043"
"8","2021","Flores","3627","2522","0","722330","251276","0","82203","279","0","0","1056088"
"8","2021","Corvo","470","285","0","147764","0","0","0","0","0","0","147764"
"7","2021","Santa Maria","5612","3938","0","1482072","0","0","200089","112294","0","0","1794455"
"7","2021","São Miguel","137133","65712","19772357","8123","2293249","14975591","1467200","34896","0","52365","38603781"
"7","2021","Terceira","54874","28201","10956438","18951","2140","2151142","2099608","6968","1366281","0","16601528"
"7","2021","Graciosa","4179","3317","0","442874","0","0","613233","116372","0","0","1172479"
"7","2021","São Jorge","8228","6043","0","2326834","0","0","226569","4908","0","0","2558311"
"7","2021","Pico","13635","10079","3918329","44","0","0","268937","569","0","0","4187879"
"7","2021","Faial","14443","8350","3737036","682","0","0","466400","0","0","0","4204118"
"7","2021","Flores","3627","2523","0","523203","410717","0","90383","331","0","0","1024634"
"7","2021","Corvo","470","283","0","142020","0","0","0","0","0","0","142020"
"6","2021","Santa Maria","5612","3927","0","1451333","0","0","147618","26999","0","0","1625950"
"6","2021","São Miguel","137133","65545","18742076","10517","2122908","13903479","786318","30953","0","51468","35647719"
"6","2021","Terceira","54874","28171","10376973","7942","15517","1904167","1690631","8208","1301531","0","15304969"
"6","2021","Graciosa","4179","3312","0","597559","0","0","356428","124776","0","0","1078763"
"6","2021","São Jorge","8228","6035","0","2200804","0","0","109794","6321","0","0","2316919"
"6","2021","Pico","13635","10068","3436498","640","0","0","351831","517","0","0","3789486"
"6","2021","Faial","14443","8338","3522335","0","0","0","265764","0","0","0","3788099"
"6","2021","Flores","3627","2518","0","527240","317289","0","82889","446","0","0","927864"
"6","2021","Corvo","470","283","0","133625","0","0","0","0","0","0","133625"
"5","2021","Santa Maria","5612","3939","0","1495540","0","0","109345","1184","0","0","1606069"
"5","2021","São Miguel","137133","65497","16608514","14333","2303818","15330518","914379","32939","0","49398","35253899"
"5","2021","Terceira","54874","28114","9247304","14005","131201","2573416","2455376","7716","1065775","0","15494793"
"5","2021","Graciosa","4179","3309","0","354904","0","0","625427","115074","0","0","1095405"
"5","2021","São Jorge","8228","6024","0","1974648","0","0","289230","4894","0","0","2268772"
"5","2021","Pico","13635","10049","3288608","0","0","0","463658","483","0","0","3752749"
"5","2021","Faial","14443","8338","3211371","3950","20472","0","566273","0","0","0","3802066"
"5","2021","Flores","3627","2510","0","361464","465915","0","100527","584","0","0","928490"
"5","2021","Corvo","470","283","0","136312","0","0","0","0","0","0","136312"
"4","2021","Santa Maria","5616","3938","0","1306684","0","0","267481","917","0","0","1575082"
"4","2021","São Miguel","137307","65459","16663775","6923","2088812","14185189","1274877","29397","0","50386","34299359"
"4","2021","Terceira","55124","28101","8776666","18643","251935","2197496","2959525","11136","906666","0","15122067"
"4","2021","Graciosa","4208","3309","0","304623","0","0","684305","83628","0","0","1072556"
"4","2021","São Jorge","8277","6014","0","1976182","0","0","273804","4311","0","0","2254297"
"4","2021","Pico","13651","10044","3110855","0","0","0","602588","433","0","0","3713876"
"4","2021","Faial","14521","8327","3071069","625","24187","0","610081","0","0","0","3705962"
"4","2021","Flores","3628","2509","0","260777","587828","0","74736","350","0","0","923691"
"4","2021","Corvo","464","283","0","132212","0","0","0","0","0","0","132212"
